Country,Animal Products,Animal fats,Cereals Excluding Beer,Eggs,"Fish Seafood",Fruits Excluding Wine,Milk Excluding Butter,Vegetal Products,Vegetable Oils,Vegetables,Obesity
Luxembourg,32.4517,6.4786,1.8437,1.6645,0.6987,0.3256,7.2286,17.5519,10.6855,0.2634,24.2
Madagascar,19.0932,1.7454,10.0681,0.3406,0.745,1.2984,4.4274,30.9068,15.8791,0.1916,4.5
Malawi,18.8711,2.6263,13.0891,0.2753,0.6672,1.3767,0.4024,31.1236,8.4189,0.2224,4.7
Malaysia,17.1723,1.4813,2.2933,2.7596,1.8599,0.1756,1.2289,32.8304,27.174,0.2359,15.3
Maldives,29.7398,4.8409,4.5092,3.2756,8.4068,0.4665,7.3909,20.255,4.9549,0.5183,7.9
Mali,17.4631,1.2195,12.0873,0.1327,0.4065,0.2987,9.7146,32.5369,14.1945,0.3816,7.1
Malta,29.3856,6.6557,4.8786,1.3878,1.3074,0.2666,9.3298,20.6144,9.3975,0.5162,31
Mauritania,17.4021,1.7485,4.3092,0.4337,0.5369,0.0895,8.646,32.6014,26.9567,0.1514,11.3
Mauritius,12.8934,1.4559,3.2471,0.7355,1.0457,0.1501,2.8418,37.1041,29.9945,0.1751,11.5
Mexico,23.7741,3.2525,6.4604,2.2807,0.4661,0.5305,4.3433,26.2234,16.3419,0.2429,28.4
Mongolia,36.9018,5.5153,2.7445,0.593,0.0315,0.042,9.0628,13.0982,8.2231,0.1417,19.6
Montenegro,32.7855,3.8887,3.7312,1.1566,0.3473,0.3688,12.5363,17.2163,8.6332,0.2578,24.9
Morocco,15.4227,3.5807,7.1539,1.1517,1.2329,0.7014,2.2296,34.5736,22.9457,0.2953,25.6
Mozambique,11.591,1.1197,8.8101,0.5537,0.849,0.1846,2.0795,38.4152,25.5199,0.16,6
Myanmar,26.047,3.0066,3.8192,0.9251,2.5441,0.275,1.2814,23.953,12.7453,0.2938,5.7
Namibia,16.7373,3.3171,6.802,0.2718,0.6075,0.2798,4.548,33.2667,22.9078,0.1359,15
